Week,Git,Subversion,Perforce
2014-01-11,165.0434782609,13.5652173913,4.5217391304
2014-01-18,165.0434782609,11.3043478261,6.7826086957
2014-01-25,160.5217391304,11.3043478261,4.5217391304
2014-02-01,167.3043478261,11.3043478261,4.5217391304
2014-02-08,169.5652173913,11.3043478261,6.7826086957
2014-02-15,167.3043478261,13.5652173913,4.5217391304
2014-02-22,171.8260869565,13.5652173913,6.7826086957
2014-03-01,174.0869565217,13.5652173913,4.5217391304
2014-03-08,176.347826087,13.5652173913,6.7826086957
2014-03-15,174.0869565217,11.3043478261,6.7826086957
2014-03-22,178.6086956522,11.3043478261,4.5217391304
2014-03-29,180.8695652174,13.5652173913,6.7826086957
2014-04-05,180.8695652174,11.3043478261,4.5217391304
2014-04-12,178.6086956522,11.3043478261,4.5217391304
2014-04-19,174.0869565217,11.3043478261,4.5217391304
2014-04-26,162.7826086957,11.3043478261,4.5217391304
2014-05-03,174.0869565217,11.3043478261,6.7826086957
2014-05-10,178.6086956522,11.3043478261,6.7826086957
2014-05-17,180.8695652174,11.3043478261,4.5217391304
2014-05-24,165.0434782609,11.3043478261,6.7826086957
2014-05-31,176.347826087,11.3043478261,6.7826086957
2014-06-07,169.5652173913,11.3043478261,4.5217391304
2014-06-14,171.8260869565,11.3043478261,4.5217391304
2014-06-21,169.5652173913,11.3043478261,6.7826086957
2014-06-28,162.7826086957,9.0434782609,4.5217391304
2014-07-05,174.0869565217,11.3043478261,4.5217391304
2014-07-12,176.347826087,11.3043478261,6.7826086957
2014-07-19,174.0869565217,9.0434782609,6.7826086957
2014-07-26,171.8260869565,11.3043478261,6.7826086957
2014-08-02,178.6086956522,11.3043478261,6.7826086957
2014-08-09,167.3043478261,9.0434782609,4.5217391304
2014-08-16,176.347826087,9.0434782609,4.5217391304
2014-08-23,174.0869565217,9.0434782609,4.5217391304
2014-08-30,169.5652173913,11.3043478261,4.5217391304
2014-09-06,174.0869565217,9.0434782609,4.5217391304
2014-09-13,176.347826087,11.3043478261,6.7826086957
2014-09-20,180.8695652174,13.5652173913,4.5217391304
2014-09-27,174.0869565217,11.3043478261,4.5217391304
2014-10-04,178.6086956522,11.3043478261,4.5217391304
2014-10-11,176.347826087,11.3043478261,4.5217391304
2014-10-18,185.3913043478,9.0434782609,4.5217391304
2014-10-25,183.1304347826,11.3043478261,4.5217391304
2014-11-01,180.8695652174,11.3043478261,4.5217391304
2014-11-08,178.6086956522,11.3043478261,4.5217391304
2014-11-15,180.8695652174,9.0434782609,4.5217391304
2014-11-22,169.5652173913,9.0434782609,4.5217391304
2014-11-29,178.6086956522,9.0434782609,4.5217391304
2014-12-06,183.1304347826,9.0434782609,4.5217391304
2014-12-13,180.8695652174,9.0434782609,4.5217391304
2014-12-20,131.1304347826,4.5217391304,2.2608695652
2014-12-27,115.3043478261,4.5217391304,2.2608695652
2015-01-03,174.0869565217,9.0434782609,4.5217391304
2015-01-10,185.3913043478,9.0434782609,4.5217391304
2015-01-17,187.652173913,9.0434782609,4.5217391304
2015-01-24,189.9130434783,9.0434782609,6.7826086957
2015-01-31,185.3913043478,9.0434782609,4.5217391304
2015-02-07,189.9130434783,9.0434782609,4.5217391304
2015-02-14,185.3913043478,9.0434782609,4.5217391304
2015-02-21,189.9130434783,9.0434782609,4.5217391304
2015-02-28,194.4347826087,9.0434782609,4.5217391304
2015-03-07,196.6956521739,9.0434782609,4.5217391304
2015-03-14,196.6956521739,11.3043478261,4.5217391304
2015-03-21,201.2173913043,11.3043478261,4.5217391304
2015-03-28,187.652173913,9.0434782609,4.5217391304
2015-04-04,192.1739130435,9.0434782609,4.5217391304
2015-04-11,194.4347826087,9.0434782609,4.5217391304
2015-04-18,196.6956521739,9.0434782609,4.5217391304
2015-04-25,185.3913043478,9.0434782609,4.5217391304
2015-05-02,187.652173913,9.0434782609,4.5217391304
2015-05-09,194.4347826087,9.0434782609,4.5217391304
